,FECHA_DOC,CANT,CVE_ART
0,2022-01-05,1.0,TUE00244
1,2022-01-05,1.0,TUA00028
2,2022-01-05,7.0,TP0007
3,2022-01-05,1.0,TP0001
4,2022-01-05,2.0,BP00242
5,2022-01-05,2.0,BP00243
6,2022-01-05,1.0,RP00165
7,2022-01-05,3.0,TP0001
8,2022-01-05,,TUE00207
9,2022-01-05,,TUE00207
10,2022-01-05,,TUE00207
11,2022-01-05,,TUE00207
12,2022-01-05,,TUE00207
13,2022-01-05,,BO00051
14,2022-01-05,,BC00023
15,2022-01-05,5.0,PT00070
16,2022-01-05,2.0,TP0011
17,2022-01-05,3.0,PJ31C1F1AA00
18,2022-01-05,5.0,
19,2022-01-05,7.0,WRE-2774
20,2022-01-05,3.0,WRE-4885
21,2022-01-07,3.0,MR01934
22,2022-01-07,1.0,PT00080
23,2022-01-07,1.0,PT00081
24,2022-01-07,2.0,RP00150
25,2022-01-07,3.0,TUA00009
26,2022-01-07,5.0,TP0011
27,2022-01-07,6.0,TP0012
28,2022-01-07,2.0,PT00044
29,2022-01-07,30.0,BOBINA001
30,2022-01-10,6.0,TUE00247
31,2022-01-10,30.0,BOBINA001
32,2022-01-10,1.0,TUE00320
33,2022-01-11,10.0,PJ31A1F1A400
34,2022-01-11,10.0,PK31A1F1A400
35,2022-01-11,1.0,RP00172
36,2022-01-11,1.0,RP00173
37,2022-01-11,1.0,BN00232
38,2022-01-12,40.0,CBS00045
39,2022-01-12,1.0,MR01934
40,2022-01-12,3.0,TUE00321
41,2022-01-12,9.0,TF71E1120A00
42,2022-01-12,10.0,BO00052
43,2022-01-12,8.0,TUA00404
44,2022-01-13,2.0,TEE00025
45,2022-01-14,1.0,TUS00049
46,2022-01-14,2.0,TUE00322
47,2022-01-14,2.0,TUE00323
48,2022-01-14,4.0,TUS00020
49,2022-01-14,1.0,TUE00328
50,2022-01-17,5.0,TUS00003
51,2022-01-17,1.0,BB1 1/2X1/2-300W
52,2022-01-17,1.0,TP0008
53,2022-01-17,2.0,TUE00324
54,2022-01-17,2.0,TUE00325
55,2022-01-17,1.0,TUE00326
56,2022-01-17,1.0,TUE00327
57,2022-01-17,4.0,RB00010
58,2022-01-18,1.0,P7J6C1D1A030
59,2022-01-19,2.0,CS12E2040A00
60,2022-01-19,2.0,CS12E2040A00
61,2022-01-19,3.0,BC00024
62,2022-01-19,3.0,BC00025
63,2022-01-19,6.0,BP00241
64,2022-01-19,2.0,TP00016
65,2022-01-19,8.0,TUA00258
66,2022-01-19,2.0,BN00236
67,2022-01-19,4.0,BN00237
68,2022-01-20,4.0,TUA00364
69,2022-01-20,2.0,BP00245
70,2022-01-20,1.0,BP00244
71,2022-01-21,10.0,PK31B1I1A000
72,2022-01-21,1.0,BP00051
73,2022-01-21,1.0,TUA00400
74,2022-01-21,30.0,ECQ-00972
75,2022-01-21,3.0,TU5/16X230MM
76,2022-01-24,10.0,TUE00146
77,2022-01-24,6.0,BO00054
